Fitted Refractive index of Ag from Johnson and Christy (Phys. Rev. B 6,4370,(1972))
1 2 3 0 0 = specifies whether N or epsilon are read in (see manual)
 lambda(um)        re(N)          im(N)
     0.250       3.239807       0.501931
     0.260       2.635089       0.325379
     0.270       2.203981       0.247004
     0.280       1.852390       0.208304
     0.290       1.533673       0.191769
     0.300       1.215148       0.194304
     0.310       0.858489       0.229616
     0.320       0.417548       0.406576
     0.330       0.186338       0.804911
     0.340       0.122879       1.102028
     0.350       0.093656       1.330365
     0.360       0.076670       1.520623
     0.370       0.065665       1.686840
     0.380       0.058106       1.836531
     0.390       0.052748       1.974199
     0.400       0.048904       2.102756
     0.410       0.046157       2.224189
     0.420       0.044244       2.339911
     0.430       0.042985       2.450961
     0.440       0.042257       2.558116
     0.450       0.041969       2.661975
     0.460       0.042052       2.763001
     0.470       0.042451       2.861562
     0.480       0.043118       2.957950
     0.490       0.044009       3.052397
     0.500       0.045082       3.145097
     0.510       0.046291       3.236205
     0.520       0.047591       3.325856
     0.530       0.048931       3.414165
     0.540       0.050257       3.501235
     0.550       0.051514       3.587166
     0.560       0.052647       3.672054
     0.570       0.053604       3.755994
     0.580       0.054336       3.839087
     0.590       0.054808       3.921434
     0.600       0.054992       4.003138
     0.610       0.054875       4.084299
     0.620       0.054458       4.165013
     0.630       0.053754       4.245371
     0.640       0.052787       4.325449
     0.650       0.051591       4.405314
     0.660       0.050202       4.485021
     0.670       0.048661       4.564610
     0.680       0.047008       4.644112
     0.690       0.045279       4.723546
     0.700       0.043507       4.802923
     0.710       0.041722       4.882251
     0.720       0.039947       4.961528
     0.730       0.038201       5.040754
     0.740       0.036500       5.119924
     0.750       0.034854       5.199032
     0.760       0.033270       5.278074
     0.770       0.031754       5.357043
     0.780       0.030309       5.435936
     0.790       0.028935       5.514748
     0.800       0.027631       5.593475
     0.810       0.026398       5.672115
     0.820       0.025232       5.750666
     0.830       0.024130       5.829127
     0.840       0.023091       5.907496
     0.850       0.022111       5.985775
     0.860       0.021187       6.063962
     0.870       0.020315       6.142059
     0.880       0.019493       6.220067
     0.890       0.018717       6.297987
     0.900       0.017985       6.375821
     0.910       0.017293       6.453569
     0.920       0.016640       6.531235
     0.930       0.016023       6.608819
     0.940       0.015439       6.686325
     0.950       0.014886       6.763752
     0.960       0.014362       6.841106
     0.970       0.013866       6.918386
     0.980       0.013395       6.995595
     0.990       0.012949       7.072734
     1.000       0.012524       7.149806
